Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29 09:30:00-04:00,311.7749938964844,315.0,311.5,313.67498779296875,8454465,86.25,86.66999816894531,85.66000366210938,86.04499816894531,6243126,271.31500244140625,274.75,270.67999267578125,272.07000732421875,9480476,381.20001220703125,381.6499938964844,376.5899963378906,379.9200134277344,5796461,633.969970703125,634.4600219726562,623.9000854492188,624.9500122070312,3039274
2026-05-29 10:30:00-04:00,313.6600036621094,314.05999755859375,310.4200134277344,311.79998779296875,5826258,86.05000305175781,86.45999908447266,85.66000366210938,86.43000030517578,4696391,272.0450134277344,272.63641357421875,270.6099853515625,272.30499267578125,4920067,379.8999938964844,380.3800048828125,377.2099914550781,379.80010986328125,2277862,624.9500122070312,629.5499877929688,623.3499755859375,628.2999877929688,1863392
2026-05-29 11:30:00-04:00,311.8299865722656,312.0199890136719,310.45001220703125,311.1900939941406,2789979,86.43000030517578,86.48999786376953,85.98999786376953,86.0199966430664,2471478,272.32501220703125,273.0400085449219,271.7900085449219,271.7950134277344,2705249,379.9599914550781,380.3088073730469,378.94000244140625,379.7049865722656,1768330,628.489990234375,629.0999755859375,625.530029296875,625.7999877929688,995221
2026-05-29 12:30:00-04:00,311.20001220703125,311.69000244140625,310.20001220703125,310.4200134277344,3360906,86.01010131835938,86.27799987792969,85.91999816894531,86.05999755859375,2096100,271.80999755859375,272.30499267578125,270.82000732421875,271.2300109863281,2773049,379.69000244140625,380.0898132324219,378.3999938964844,379.05999755859375,1891140,625.8300170898438,627.0,623.8209838867188,624.0700073242188,1526759
2026-05-29 13:30:00-04:00,310.4200134277344,310.55999755859375,309.5299987792969,310.260009765625,3479522,86.06500244140625,86.30000305175781,85.91999816894531,85.95999908447266,2631343,271.2300109863281,271.5299987792969,270.2300109863281,270.6449890136719,2511034,379.06500244140625,380.0,378.6300048828125,379.4649963378906,1097564,624.0700073242188,627.8200073242188,624.010009765625,627.4299926757812,1216180
2026-05-29 14:30:00-04:00,310.260009765625,311.6300048828125,310.2099914550781,311.44500732421875,4045756,85.95500183105469,86.2750015258789,85.81999969482422,86.2750015258789,3172467,270.6549987792969,270.9599914550781,269.6400146484375,270.90899658203125,3323341,379.489990234375,379.67999267578125,378.0,378.9700012207031,1904317,627.5650024414062,630.02001953125,625.192626953125,629.375,1401330
2026-05-29 15:30:00-04:00,311.45001220703125,313.1099853515625,311.3599853515625,312.07000732421875,5323698,86.2750015258789,86.44999694824219,85.93000030517578,86.0199966430664,4187851,270.90008544921875,272.130615234375,270.4599914550781,270.6499938964844,4470627,378.989990234375,379.4100036621094,374.29998779296875,376.3800048828125,6002131,629.4099731445312,634.5,628.9401245117188,632.52001953125,2713254
2026-06-01 09:30:00-04:00,309.5350036621094,310.92999267578125,307.79998779296875,307.8399963378906,10175199,85.79000091552734,87.2249984741211,85.38999938964844,85.44499969482422,7934446,266.2900085449219,266.6300048828125,262.30999755859375,264.260009765625,12292922,372.281005859375,373.6499938964844,369.7099914550781,372.05999755859375,4376541,629.4149780273438,635.6799926757812,609.8499755859375,610.205810546875,6161308
