Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13 09:30:00-04:00,76.15499877929688,77.6698989868164,75.44999694824219,77.17140197753906,11936147,344.57000732421875,345.8299865722656,342.5299987792969,344.07000732421875,3967150,580.375,590.5,579.4299926757812,587.7999877929688,3083384,304.25799560546875,305.9599914550781,302.04998779296875,305.6449890136719,11220852,267.2349853515625,269.5799865722656,265.5799865722656,267.9150085449219,7057502
2026-08-13 10:30:00-04:00,77.18000030517578,77.3499984741211,76.5,76.56999969482422,4235295,344.0799865722656,345.3399963378906,342.4200134277344,342.69000244140625,1961436,587.8400268554688,591.0,585.6500244140625,586.2949829101562,1339955,305.8299865722656,306.0,303.54998779296875,303.7200012207031,4294720,267.8999938964844,268.80999755859375,266.239990234375,266.49749755859375,4482324
2026-08-13 11:30:00-04:00,76.55999755859375,77.08989715576172,76.54000091552734,77.06999969482422,2870662,342.56829833984375,344.3900146484375,342.3999938964844,344.2799987792969,1286002,586.22998046875,587.260009765625,584.8305053710938,587.0800170898438,827277,303.7300109863281,303.9849853515625,302.57000732421875,303.42999267578125,3040931,266.4949951171875,266.9800109863281,264.82000732421875,265.260009765625,3475356
2026-08-13 12:30:00-04:00,77.07499694824219,77.41999816894531,77.0250015258789,77.19999694824219,3375176,344.29998779296875,345.260009765625,343.5299987792969,343.82000732421875,1048484,587.0399780273438,589.219970703125,586.7899780273438,588.47998046875,714087,303.43499755859375,303.760009765625,302.8500061035156,303.3399963378906,2276605,265.2749938964844,266.010009765625,264.8999938964844,265.6000061035156,2527600
2026-08-13 13:30:00-04:00,77.19049835205078,77.20999908447266,76.81400299072266,77.12000274658203,2116128,343.82501220703125,344.7099914550781,343.70001220703125,344.3900146484375,1034317,588.47998046875,590.2598876953125,587.6599731445312,589.635009765625,666058,303.3301086425781,303.8999938964844,302.92999267578125,303.30999755859375,2056919,265.60400390625,265.864990234375,265.0899963378906,265.6549987792969,1910282
2026-08-13 14:30:00-04:00,77.12000274658203,77.8949966430664,76.97000122070312,77.83989715576172,3855786,344.3599853515625,344.6498107910156,343.4700012207031,343.864990234375,1275235,589.6699829101562,595.5800170898438,589.22998046875,595.22998046875,1441619,303.30999755859375,304.6099853515625,303.0299987792969,304.3999938964844,3700793,265.6650085449219,266.510009765625,265.510009765625,265.531005859375,2674375
2026-08-13 15:30:00-04:00,77.82499694824219,78.4000015258789,77.79499816894531,78.2300033569336,6427267,343.8500061035156,344.7699890136719,343.2300109863281,343.9800109863281,2309555,595.27001953125,595.8499755859375,593.6400146484375,594.905029296875,1310374,304.3800048828125,305.32000732421875,303.9700012207031,305.32000732421875,3755568,265.5299987792969,265.7200012207031,264.7049865722656,265.1600036621094,3734402
2026-08-14 09:30:00-04:00,78.4800033569336,78.7300033569336,77.76010131835938,78.11000061035156,6884395,344.260009765625,348.05999755859375,343.822998046875,344.07000732421875,3370206,596.97998046875,601.8599853515625,595.010009765625,595.8400268554688,2332651,306.02801513671875,307.489990234375,304.760009765625,304.989990234375,6735349,264.875,265.80999755859375,264.0400085449219,264.364990234375,5870863
