Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20 14:30:00+00:00,204.75999450683594,210.36000061035156,203.75,208.44000244140625,14150655,639.1119995117188,656.4998779296875,638.780029296875,654.4500122070312,2394775,304.739990234375,311.8999938964844,304.4200134277344,310.7550048828125,4507716,76.61000061035156,77.80000305175781,76.4000015258789,77.58999633789062,4903064,258.9549865722656,262.3500061035156,258.1600036621094,260.57049560546875,6967496
2026-02-20 15:30:00+00:00,208.4250030517578,211.0800018310547,207.7899932861328,208.0675048828125,6773384,654.4356079101562,663.3499145507812,652.5100708007812,655.7575073242188,1688944,310.7799987792969,315.7200012207031,310.69000244140625,314.7250061035156,4506398,77.58000183105469,78.14730072021484,77.30000305175781,77.83499908447266,2391352,260.54998779296875,263.260009765625,260.2773132324219,261.42999267578125,2960036
2026-02-20 16:30:00+00:00,208.04010009765625,209.66360473632812,206.8300018310547,207.89999389648438,4292681,655.6799926757812,662.2999877929688,653.3499755859375,654.6962280273438,830631,314.69000244140625,316.760009765625,313.05999755859375,314.2200012207031,2488376,77.83000183105469,78.18000030517578,77.58000183105469,77.81500244140625,2255520,261.4200134277344,264.75,261.2300109863281,262.29998779296875,3078479
2026-02-20 17:30:00+00:00,207.91000366210938,209.7899932861328,207.8000030517578,209.2100067138672,3678348,654.7000122070312,658.5,654.3200073242188,655.4400024414062,645079,314.20001220703125,316.0899963378906,313.989990234375,314.5899963378906,1704244,77.81500244140625,78.23500061035156,77.75,77.92500305175781,1778536,262.2695007324219,263.92999267578125,261.6099853515625,263.6099853515625,2014188
2026-02-20 18:30:00+00:00,209.2100067138672,211.16729736328125,208.77000427246094,209.7899932861328,4074538,655.27001953125,658.6599731445312,654.280029296875,655.7999877929688,505205,314.5400085449219,315.8399963378906,314.1000061035156,314.82000732421875,1671673,77.92500305175781,78.58000183105469,77.83999633789062,78.3550033569336,2096949,263.57501220703125,264.7300109863281,263.1600036621094,264.42999267578125,1630010
2026-02-20 19:30:00+00:00,209.7899932861328,210.13999938964844,209.22999572753906,209.4600067138672,2730985,655.8099975585938,657.260009765625,654.1799926757812,654.27001953125,529263,314.8599853515625,316.5,314.8599853515625,315.2799987792969,1639608,78.3550033569336,78.8499984741211,78.3550033569336,78.6449966430664,2574809,264.44000244140625,264.7099914550781,263.2850036621094,263.3301086425781,1887447
2026-02-20 20:30:00+00:00,209.4499969482422,210.289794921875,209.31500244140625,210.17999267578125,3521035,654.2999877929688,655.9799194335938,654.22998046875,655.6099853515625,652963,315.260009765625,315.8500061035156,314.32000732421875,314.79998779296875,3675738,78.63999938964844,78.69999694824219,78.43000030517578,78.68000030517578,2335410,263.3450012207031,264.7449951171875,263.0899963378906,264.5899963378906,13540364
2026-02-23 14:30:00+00:00,208.0399932861328,208.42999267578125,203.92999267578125,204.6291046142578,9891079,652.6599731445312,657.7000122070312,646.5150146484375,649.1199951171875,1337106,319.1000061035156,319.2799987792969,315.0899963378906,315.79998779296875,3573186,77.79000091552734,77.82499694824219,75.01000213623047,76.16000366210938,8773236,263.489990234375,267.739990234375,263.3810119628906,267.04998779296875,7631864
