Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03 14:30:00+00:00,316.05999755859375,319.1600036621094,314.2799987792969,317.9150085449219,3546038,106.57499694824219,106.87000274658203,102.02999877929688,102.86499786376953,11991978,644.4099731445312,648.8499145507812,641.6118774414062,643.4041748046875,1590547,286.20001220703125,288.6099853515625,285.8999938964844,287.34051513671875,6627228,233.35000610351562,233.3800048828125,230.63999938964844,231.39999389648438,7330773
2025-12-03 15:30:00+00:00,317.8900146484375,320.44049072265625,317.4419860839844,319.5350036621094,2686121,102.87000274658203,103.73999786376953,102.51000213623047,103.50499725341797,5459911,643.2750244140625,644.8399047851562,641.8200073242188,642.5800170898438,944738,287.32000732421875,287.5899963378906,285.75,286.4100036621094,3581593,231.3800048828125,233.19000244140625,231.0,232.18069458007812,3572833
2025-12-03 16:30:00+00:00,319.510009765625,321.25,319.3949890136719,320.67999267578125,1901138,103.50499725341797,103.83999633789062,103.20999908447266,103.80000305175781,2795629,642.5499877929688,645.8300170898438,642.4949951171875,645.8233032226562,663862,286.4200134277344,286.82000732421875,285.5,286.385009765625,2126959,232.2100067138672,232.7899932861328,231.84500122070312,232.47000122070312,1757102
2025-12-03 17:30:00+00:00,320.6099853515625,321.8320007324219,320.20001220703125,321.5050048828125,1116778,103.80000305175781,103.81999969482422,103.3499984741211,103.56500244140625,2449917,645.77001953125,645.9199829101562,644.27001953125,644.7000122070312,408413,286.3500061035156,286.44000244140625,285.3399963378906,285.6792907714844,2127386,232.47000122070312,232.63499450683594,231.89999389648438,231.9600067138672,1609332
2025-12-03 18:30:00+00:00,321.6199951171875,322.0400085449219,320.82000732421875,320.8599853515625,1158009,103.56999969482422,103.66449737548828,103.08000183105469,103.39990234375,2592187,644.614990234375,645.2999877929688,643.1838989257812,644.1849975585938,474190,285.67999267578125,285.94000244140625,284.8843078613281,285.2099914550781,1618603,231.97999572753906,232.4250030517578,231.8000030517578,231.92489624023438,1532776
2025-12-03 19:30:00+00:00,320.8599853515625,321.79998779296875,320.3915100097656,321.7799987792969,962182,103.3949966430664,104.30999755859375,103.33999633789062,104.18499755859375,3564960,644.239990234375,645.3200073242188,643.8800048828125,644.1181030273438,551421,285.2300109863281,285.2499084472656,284.2749938964844,284.55499267578125,11158331,231.9199981689453,232.64999389648438,231.72999572753906,232.61000061035156,1899280
2025-12-03 20:30:00+00:00,321.739990234375,321.8070068359375,320.3699951171875,320.5400085449219,2631653,104.18000030517578,104.27999877929688,103.5999984741211,103.97000122070312,4121724,644.0349731445312,644.27001953125,638.5999755859375,639.739990234375,1310744,284.54998779296875,284.70001220703125,283.5400085449219,284.1499938964844,0,232.60000610351562,232.76499938964844,232.27000427246094,232.3699951171875,2574866
2025-12-04 14:30:00+00:00,321.010009765625,321.5400085449219,315.6000061035156,317.510009765625,4390383,102.93000030517578,103.63999938964844,102.26000213623047,102.54000091552734,9053564,675.9000244140625,676.0,660.1099853515625,665.72998046875,10059794,284.1099853515625,284.7300109863281,280.2699890136719,281.2250061035156,6410843,232.63999938964844,233.5,228.05999755859375,228.77499389648438,7888562
