Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-06 09:30:00-04:00,75.02999877929688,75.19999694824219,73.1001968383789,73.36000061035156,8301006,586.3350219726562,595.3099975585938,585.9949951171875,589.97998046875,3251402,272.7650146484375,275.4800109863281,272.260009765625,272.6099853515625,7032266,358.7919921875,361.9599914550781,358.25,358.6000061035156,3964924,314.3399963378906,316.2893981933594,312.1199951171875,312.8399963378906,10486977
2026-08-06 10:30:00-04:00,73.36000061035156,74.05500030517578,73.28009796142578,73.61389923095703,3600731,589.97998046875,594.0,588.6749877929688,589.9000244140625,1625485,272.59039306640625,274.42999267578125,272.5,274.2099914550781,3349187,358.57000732421875,360.3900146484375,357.0899963378906,358.67498779296875,1939355,312.79998779296875,313.6400146484375,309.6600036621094,310.1000061035156,5738168
2026-08-06 11:30:00-04:00,73.61499786376953,73.81999969482422,73.43499755859375,73.76000213623047,2925208,589.8300170898438,589.9257202148438,587.3499755859375,589.3098754882812,1114782,274.25,274.4700012207031,272.8999938964844,273.260009765625,1959913,358.7200012207031,358.9999084472656,357.3999938964844,358.4200134277344,1264687,310.1050109863281,311.260009765625,309.2300109863281,311.1570129394531,3774543
2026-08-06 12:30:00-04:00,73.76000213623047,73.81999969482422,73.29499816894531,73.4800033569336,1960438,589.375,591.27001953125,587.830078125,587.9099731445312,1482516,273.2699890136719,273.3399963378906,271.7099914550781,271.94000244140625,2987681,358.45001220703125,358.489990234375,356.6000061035156,356.8450012207031,1395496,311.1600036621094,311.760009765625,310.7099914550781,311.2005920410156,3748424
2026-08-06 13:30:00-04:00,73.4800033569336,73.83000183105469,73.45349884033203,73.77459716796875,2413931,587.9600219726562,590.3699951171875,587.1400146484375,590.2100219726562,799281,271.94989013671875,272.2900085449219,271.5299987792969,271.6499938964844,1858844,356.8699951171875,357.489990234375,355.989990234375,356.5801086425781,1287818,311.2099914550781,312.4200134277344,311.18011474609375,312.239990234375,2450423
2026-08-06 14:30:00-04:00,73.77999877929688,73.87000274658203,73.56999969482422,73.59120178222656,2028471,590.25,591.5,589.0900268554688,589.2449951171875,904327,271.6575012207031,272.0299987792969,271.1000061035156,271.17999267578125,2480488,356.6025085449219,357.1700134277344,356.0,356.07000732421875,1654972,312.2477111816406,312.82000732421875,311.8800048828125,312.5799865722656,3027688
2026-08-06 15:30:00-04:00,73.58999633789062,73.70999908447266,73.2927017211914,73.68000030517578,3506491,589.0800170898438,590.1099853515625,587.2999877929688,589.8400268554688,1156482,271.1600036621094,272.45001220703125,271.0845031738281,272.20001220703125,3040548,356.0450134277344,357.010009765625,355.8299865722656,356.760009765625,1572592,312.5899963378906,312.94000244140625,311.7799987792969,312.45001220703125,3796760
2026-08-07 09:30:00-04:00,73.07499694824219,74.31500244140625,73.07499694824219,74.09750366210938,7163293,585.6400146484375,597.0,585.6199951171875,592.8099975585938,2562157,272.8900146484375,277.8500061035156,272.75,276.1499938964844,8739038,355.2799987792969,357.54998779296875,353.5,354.7698974609375,3701392,311.32000732421875,314.135009765625,310.739990234375,314.0799865722656,7215243
